project,test,match_status,exception_type,category,message
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentWithInvalidRequest,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentWithConfigs,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentMultiple,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentHostSimple,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentHostMultiple,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateServiceComponentHostWithInvalidRequest,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateHostSimple,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateHostMultiple,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testCreateHostWithInvalidRequests,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.controller.AmbariManagementControllerTest#testInstallAndStartService,matched (65 report(s) available),com.google.inject.ProvisionException,Other (ProvisionException),"Guice provision errors:  1) Error injecting constructor, java.net.UnknownHostException: ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.<init>(AmbariManagementControllerImpl.java:134)   at org.apache.ambari.server.controller.AmbariManagementControllerImpl.class(AmbariManagementControllerImpl.java:88)   while locating org.apache.ambari.server.controller.AmbariManagementControllerImpl   while locating "
apache-ambari,org.apache.ambari.server.agent.TestHeartbeatMonitor#testHeartbeatStateCommandsEnqueueing,matched (1 report(s) available),java.lang.AssertionError,Assertion Failure,HeartbeatMonitor should be already stopped
apache-ambari,org.apache.ambari.server.agent.TestActionQueue#testConcurrentOperations,matched (927 report(s) available),java.lang.AssertionError,Assertion Failure,expected:<0> but was:<4>
apache-ambari,org.apache.ambari.server.bootstrap.BootStrapTest#testRun,matched (65 report(s) available),java.net.UnknownHostException,Connection / Network,ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution
apache-ambari,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest#testBadCredential,matched (8 report(s) available),java.lang.Exception,Other (Exception),"Unexpected exception, expected<org.springframework.security.authentication.BadCredentialsException> but was<org.springframework.security.authentication.InternalAuthenticationServiceException>"
apache-ambari,org.apache.ambari.server.security.authorization.AmbariLdapAuthenticationProviderTest#testAuthenticate,matched (8 report(s) available),org.springframework.security.authentication.InternalAuthenticationServiceException,Other (InternalAuthenticationServiceException),localhost:33389; nested exception is javax.naming.CommunicationException: localhost:33389 [Root exception is java.net.ConnectException: Connection refused (Connection refused)]
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteAdmin#testDeleteTable,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteAdmin#testCreateTable,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestStatusResource#testGetClusterStatusXML,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestStatusResource#testGetClusterStatusPB,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster#testDFSMiniCluster,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster#testZooKeeperMiniCluster,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster#testHBaseMiniCluster,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.Test00MiniCluster#testStargateServlet,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteTable#testGetTableDescriptor,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteTable#testGet,matched (2014 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteTable#testPut,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteTable#testDelete,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.client.TestRemoteTable#testScanner,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestTableResource#testTableListText,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestTableResource#testTableListJSON,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestTableResource#testTableListXML,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestTableResource#testTableListPB,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testNoFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testPrefixFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testPageFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testInclusiveStopFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testQualifierFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testRowFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testValueFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testSkipFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testFilterList,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannersWithFilters#testFirstKeyOnlyFilter,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.util.TestHTableTokenBucket#testTokenBucketConfig,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.util.TestHTableTokenBucket#testTokenBucket,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.auth.TestZooKeeperAuthenticator#testGetPlainUser,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.auth.TestZooKeeperAuthenticator#testGetAdminUser,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.auth.TestZooKeeperAuthenticator#testGetUserUnknown,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.auth.TestZooKeeperAuthenticator#testGetDisabledUser,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestVersionResource#testGetStargateVersionText,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestVersionResource#testGetStargateVersionXML,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestVersionResource#testGetStargateVersionJSON,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestVersionResource#testGetStargateVersionPB,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestVersionResource#testGetStorageClusterVersionText,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestVersionResource#testGetStorageClusterVersionXML,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestVersionResource#testGetStorageClusterVersionJSON,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestRowResource#testDelete,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestRowResource#testSingleCellGetPutXML,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestRowResource#testSingleCellGetPutPB,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestRowResource#testSingleCellGetPutBinary,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestRowResource#testSingleCellGetJSON,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestRowResource#testURLEncodedKey,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestRowResource#testMultiCellGetPutXML,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestRowResource#testMultiCellGetPutPB,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.auth.TestHTableAuthenticator#testGetPlainUser,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.auth.TestHTableAuthenticator#testGetAdminUser,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.auth.TestHTableAuthenticator#testGetUserUnknown,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.auth.TestHTableAuthenticator#testGetDisabledUser,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestSchemaResource#testTableCreateAndDeleteXML,matched (2011 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:33921 after attempts=1
apache-hbase,org.apache.hadoop.hbase.stargate.TestSchemaResource#testTableCreateAndDeletePB,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannerResource#testSimpleScannerXML,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannerResource#testSimpleScannerPB,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannerResource#testSimpleScannerBinary,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.stargate.TestScannerResource#testFullTableScan,matched (2011 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage build/test/data/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.TestMergeTable#testMergeTable,matched (2521 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:46717 after attempts=1
apache-hbase,org.apache.hadoop.hbase.mapred.TestTableMapReduce#testMultiRegionTable,matched (1989 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:36829 after attempts=1
apache-hbase,org.apache.hadoop.hbase.mapreduce.TestTableMapReduce#testMultiRegionTable,matched (1989 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:43719 after attempts=1
apache-hbase,org.apache.hadoop.hbase.regionserver.TestGetClosestAtOrBefore#testUsingMetaAndBinary,matched (71 report(s) available),java.net.UnknownHostException,Connection / Network,ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution
apache-hbase,org.apache.hadoop.hbase.regionserver.TestGetClosestAtOrBefore#testGetClosestRowBefore3,matched (71 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.regionserver.TestGetClosestAtOrBefore#testGetClosestRowBefore2,matched (71 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.client.TestScannerTimeout#test2481,matched (48 report(s) available),java.lang.AssertionError,Assertion Failure,We should be timing out
apache-hbase,org.apache.hadoop.hbase.TestZooKeeper#testRegionServerSessionExpired,matched (3 report(s) available),org.apache.hadoop.hbase.master.NotAllMetaRegionsOnlineException,Other (NotAllMetaRegionsOnlineException),org.apache.hadoop.hbase.master.NotAllMetaRegionsOnlineException  at org.apache.hadoop.hbase.master.HMaster.createTable(HMaster.java:724)  at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)  at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)  at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)  at java.lang.reflect.Method.invoke(Method.java:498)  at org.apache.hadoop.hbase.ipc.HBaseRPC$Server.call(HBaseRPC.java:576)  a
apache-hbase,org.apache.hadoop.hbase.regionserver.TestHRegion#testWritesWhileGetting,matched (142 report(s) available),java.lang.AssertionError,Assertion Failure,i=101 expected:<1000> but was:<0>
apache-hbase,org.apache.hadoop.hbase.regionserver.TestStoreReconstruction#runReconstructionLog,matched (71 report(s) available),java.net.UnknownHostException,Connection / Network,ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution
apache-hbase,org.apache.hadoop.hbase.master.TestRegionManager#testGetFirstMetaRegionForRegionAfterMetaSplit,matched (1991 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:35185 after attempts=1
apache-hbase,org.apache.hadoop.hbase.regionserver.wal.TestHLog#testSplit,matched (71 report(s) available),java.net.UnknownHostException,Connection / Network,ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution
apache-hbase,org.apache.hadoop.hbase.regionserver.wal.TestHLog#testFindMemstoresWithEditsOlderThan,matched (72 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.regionserver.wal.TestHLog#testEditAdd,matched (72 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.regionserver.wal.TestHLog#testAppend,matched (73 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.TestMergeMeta#testMergeMeta,matched (71 report(s) available),java.net.UnknownHostException,Connection / Network,ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution
apache-hbase,org.apache.hadoop.hbase.regionserver.TestScanner#testFilters,matched (71 report(s) available),java.net.UnknownHostException,Connection / Network,ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution
apache-hbase,org.apache.hadoop.hbase.regionserver.TestScanner#testStopRow,matched (71 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.regionserver.TestScanner#testRaceBetweenClientAndTimeout,matched (71 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.regionserver.TestScanner#testScanner,matched (71 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.regionserver.TestScanner#testScanAndSyncFlush,matched (71 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.regionserver.TestScanner#testScanAndRealConcurrentFlush,matched (71 report(s) available),java.io.IOException,Connection / Network,Cannot lock storage /working/proj/apache-hbase-3849/apache-hbase/core/build/hbase/test/dfs/name1. The directory is already locked.
apache-hbase,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling#testLogRolling,matched (1989 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:36691 after attempts=1
apache-hbase,org.apache.hadoop.hbase.regionserver.wal.TestLogRolling#testLogRollOnDatanodeDeath,matched (1989 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:45739 after attempts=1
apache-hbase,org.apache.hadoop.hbase.util.TestMergeTool#testMergeTool,matched (71 report(s) available),java.net.UnknownHostException,Connection / Network,ip-172-31-55-102: ip-172-31-55-102: Temporary failure in name resolution
apache-hbase,org.apache.hadoop.hbase.TestRegionRebalancing#testRebalancing,matched (1989 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:35591 after attempts=1
apache-hbase,org.apache.hadoop.hbase.TestInfoServers#testInfoServersAreUp,matched (1990 report(s) available),org.apache.hadoop.hbase.client.NoServerForRegionException,Other (NoServerForRegionException),Timed out trying to locate root region because: Failed setting up proxy to /127.0.0.1:41187 after attempts=1
apache-hbase,org.apache.hadoop.hbase.client.TestFromClientSide#testFilters,matched (1 report(s) available),java.io.IOException,Connection / Network,java.io.IOException: Target HLog directory already exists: hdfs://localhost:34211/user/root/testFilters/278689230/.logs  at org.apache.hadoop.hbase.regionserver.wal.HLog.<init>(HLog.java:278)  at org.apache.hadoop.hbase.regionserver.HRegion.createHRegion(HRegion.java:2081)  at org.apache.hadoop.hbase.master.RegionManager.createRegion(RegionManager.java:731)  at org.apache.hadoop.hbase.master.HMaster.createTable(HMaster.java:771)  at org.apache.hadoop.hbase.master.HMaster.createTable(HMaster.java
apache-hbase,org.apache.hadoop.hbase.client.TestFromClientSide#testSimpleMissing,matched (2 report(s) available),java.io.IOException,Connection / Network,java.io.IOException: Target HLog directory already exists: hdfs://localhost:34211/user/root/testSimpleMissing/1712606028/.logs  at org.apache.hadoop.hbase.regionserver.wal.HLog.<init>(HLog.java:278)  at org.apache.hadoop.hbase.regionserver.HRegion.createHRegion(HRegion.java:2081)  at org.apache.hadoop.hbase.master.RegionManager.createRegion(RegionManager.java:731)  at org.apache.hadoop.hbase.master.HMaster.createTable(HMaster.java:771)  at org.apache.hadoop.hbase.master.HMaster.createTable(HMast
apache-hbase,org.apache.hadoop.hbase.client.TestFromClientSide#testSingleRowMultipleFamily,matched (2 report(s) available),java.io.IOException,Connection / Network,java.io.IOException: Target HLog directory already exists: hdfs://localhost:34211/user/root/testSingleRowMultipleFamily/1828221799/.logs  at org.apache.hadoop.hbase.regionserver.wal.HLog.<init>(HLog.java:278)  at org.apache.hadoop.hbase.regionserver.HRegion.createHRegion(HRegion.java:2081)  at org.apache.hadoop.hbase.master.RegionManager.createRegion(RegionManager.java:731)  at org.apache.hadoop.hbase.master.HMaster.createTable(HMaster.java:771)  at org.apache.hadoop.hbase.master.HMaster.createT
